InterVA4;InterVA variable;Question;Question;Threshold;Note
4370;b_norm;Was baby born in a normal vaginal delivery?;Was the delivery normal vaginal, without forceps or vacuum?;id3D258 == 'yes';WHO ID changed
4380;b_assist;Was baby born with forceps/vacuum?;Was the delivery vaginal, with forceps or vacuum?;id3D259 == 'yes';WHO ID changed
4390;b_caes;Was baby delivered by Caesarean section?;Was the delivery a Caesarean section?;id3D260 == 'yes';WHO ID changed
4400;b_first;Was this baby born from the mother's first pregnancy?;;1 == 2;Mapping unclear
4410;b_more4;Did the baby's mother have four or more births, including stillbirths, before this pregnancy?;How many births, including stillbirths, did the baby's mother have before this baby?;id3D267 >= 4;Mapping unclear
4440;b_mbpr;During pregnancy, did the baby's mother suffer from high blood pressure?;During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from high blood pressure?;id3D269 == 'yes';Mapping unclear
4450;b_msmds;Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?;Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?;id3D271 == 'yes';WHO ID changed
4460;b_mcon;During the last 3 months of pregnancy, did the baby's mother suffer from convulsions?;During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from convulsions?;id3D273 == 'yes';WHO ID changed
4470;b_mbvi;During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?;During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?;id3D275 == 'yes';WHO ID changed
4480;b_mvbl;Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?;Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?;id3D276 == 'yes';WHO ID changed
4490;b_bfac;Was the child born in a health facility?;Where was the deceased born?;id3D155 == 'hospital' || id3D155 == 'other_health_facility';WHO ID changed
4500;b_bhome;Was the child born at home?;Where was the deceased born?;id3D155 == 'home';
4510;b_bway;Was the child born somewhere else, e.g. on the way to a facility?;Where was the deceased born?;id3D155 == 'on_route_to_hospital_or_facility' || id3D155 ==  'other';WHO ID changed
4520;b_bprof;Did the mother receive professional assistance during the delivery?;Did the mother receive professional assistance during the delivery?;id3D165 == 'yes';WHO ID changed
5000;injury;Did (s)he suffer from any injury or accident that led to her/his death?;Did (s)he suffer from any injury or accident that led to her/his death?;id3E100 == 'yes';
5010;traffic;Was it a road traffic accident?;Was it a road traffic accident?;id3E115 == 'yes';WHO ID changed
5020;o_trans;Was (s)he Injured in a non?road transport accident?;;1 == 2;Mapping unclear
5030;fall;Was (s)he Injured in a fall?;Was (s)he injured in a fall?;id3E100 == 'yes' && id3E310 == 'yes';
5040;drown;Did (s)he die of drowning?;Did (s)he die of drowning?;id3E100 == 'yes' && id3E320 == 'yes';
5050;fire;Did (s)he suffer from burns?;Did (s)he suffer from accidental burns?;id3E100 == 'yes' && id3E330 == 'yes';
5060;assault;Was (s)he subject to violence/assault?;Was (s)he subject to violence/assault?;id3E100 == 'yes' && id3E520 == 'yes';
5070;venom;Did (s)he suffer from any plant/animal/insect bite or sting that led to her/his death?;Was (s)he accidentally injured by a plant/animal/insect that led to her/his death?;id3E100 == 'yes' && id3E340 == 'yes';
5080;force;Was (s)he injured by a force of nature;Was (s)he injured by a force of nature?;id3E100 == 'yes' && id3E500 == 'yes';
5090;poison;Was there any poisoning?;Was there any poisoning?;id3E100 == 'yes' && id3E510 == 'yes';
5100;inflict;Was the injury intentionally inflicted by someone else?;Was the injury intentionally inflicted by someone else?;id3E102 == 'yes';WHO ID changed
5110;suicide;Do you think (s)he committed suicide?;Do you think (s)he committed suicide?;id3E100 == 'yes' && id3E113 == 'yes';WHO ID changed
6000;alcohol;Did (s)he drink alcohol?;Did (s)he drink alcohol?;id3F100 == 'yes';
6010;smoking;Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?;Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?;id3F110 == 'yes';
6020;married;Was she married at the time of death?;What was her/his marital status?;id1A600 == 'married';
6030;vaccin;Was (s)he adequately vaccinated?;Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?||  id3H120: Can I see the vaccination card (note the vaccines the child received)?;1 == 2;Mapping unclear
6040;treat;Did (s)he receive any treatment for the illness that led to death?;Did (s)he receive any treatment for the illness that led to death?;id3G110 == 'yes';
6050;t_ort;Did (s)he receive oral rehydration salts?;Did (s)he receive oral rehydration salts?;id3G110 == 'yes' && id3G120 == 'yes';
6060;t_iv;Did (s)he receive (or need) intravenous fluids (drip) treatment?;Did (s)he receive (or need) intravenous fluids (drip) treatment?;id3G110 == 'yes' && id3G130 == 'yes';
6070;blood_tr;Did (s)he receive (or need) a blood transfusion?;Did (s)he receive (or need) a blood transfusion?;id3G140 == 'yes';
6080;t_ngt;Did (s)he receive (or need) treatment/food through a tube passed through the nose?;Did (s)he receive (or need) treatment/food through a tube passed through the nose?;id3G110 == 'yes' && id3G150 == 'yes';
6090;antib_i;Did (s)he receive (or need) injectable antibiotics?;Did (s)he receive (or need) injectable antibiotics?;id3G160 == 'yes';
6100;surgery;Did (s)he have (or need) an operation for the illness?;Did (s)he have (or need) an operation for the illness?;id3G110 == 'yes' && id3G170 == 'yes';
6110;sur_1m;Did (s)he have the operation within 1 month before death?;Did (s)he have the operation within 1 month before death?;id3G180 == 'yes';
6120;disch;Was (s)he discharged from hospital very ill?;Was (s)he discharged from hospital very ill?;id3G190 == 'yes';
7000;shospf;In the final days before death, did (s)he travel to a hospital or health facility?;In the final days before death, did s/he travel to a hospital or health facility?;id4A100 == 'yes';
7010;strans;Did (s)he use motorised transport to get to the hospital or health facility?;Did (s)he use motorised transport to get to the hospital or health facility?;id4A110 == 'yes';
7020;sadmit;Were there any problems during admission to the hospital or health facility?;Were there any problems during admission to the hospital or health facility?;id4A120 == 'yes';
7030;streat;Were there any problems with the way (s)he was treated (medical treatment, procedures, inter?personal attitudes, respect, dignity) in the hospital or health facility?;Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?;id4A130 == 'yes';
7040;smedic;Were there any problems getting medications, or diagnostic tests in the hospital or health facility?;Were there any problems getting medications, or diagnostic tests in the hospital or health facility?;id4A140 == 'yes';
7050;smore2;Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?;Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?;id4A150 == 'yes';
7060;sdoubt;In the final days before death, were there any doubts about whether medical care was needed?;In the final days before death, were there any doubts about whether medical care was needed?;id4A160 == 'yes';
7070;stradm;In the final days before death, was traditional medicine used?;In the final days before death, was traditional medicine used?;id4A170 == 'yes';
7080;smobph;In the final days before death, did anyone use a telephone or cell phone to call for help?;In the final days before death, did anyone use a telephone or cell phone to call for help?;id4A180 == 'yes';
7090;scosts;Over the course of illness, did the total costs of care and treatment prohibit other household payments?;Over the course of illness, did the total costs of care and treatment prohibit other household payments?;id4A190 == 'yes';
